Zip,Median,Mean,Pop
38772,20129,31816,187
38964,22218,31847,178
74110,26940,31847,15229
40845,22377,31885,635
33142,24024,31906,52599
40211,23444,31929,22612
39096,21524,31952,3628
63675,28368,31967,144
75216,23854,31967,49416
43605,25668,31969,31910
29945,25793,31971,3635
48210,25752,31990,39531
38928,26179,32007,640
38950,26179,32007,481
19602,22903,32023,17501
39069,22752,32023,6686
1063,40694,32047,393
33136,21347,32052,13790
53205,23648,32062,10050
48207,23451,32066,25790
83844,17250,32087,1353
14212,24113,32091,15343
76701,23045,32102,1826
30668,23102,32110,1533
79915,23887,32131,40057
70113,21198,32140,7025
14201,20512,32142,13553
39144,20712,32145,1214
20006,12103,32155,3222
48215,25916,32177,18934
40941,20551,32193,251
78405,26219,32199,16867
93640,25078,32213,11880
66607,25311,32217,10498
78576,23613,32229,8775
49701,24597,32232,663
31415,24331,32234,12089
72628,24884,32236,803
72655,24884,32236,457
72666,24884,32236,275
72683,24884,32236,211
33127,24838,32244,28909
85553,27308,32257,1501
73129,25622,32276,19690
92283,23960,32285,3158
40447,21470,32288,8251
80045,31222,32293,277
61605,23275,32298,16303
36053,26742,32317,1630
70807,23466,32325,20377
53206,22604,32327,28210
40202,18150,32349,6772
45219,21276,32349,17984
75215,22723,32350,14648
36759,22283,32367,1501
59831,21353,32377,448
59848,21353,32377,89
48213,23680,32389,44377
41775,22378,32395,114
54603,26404,32400,9664
38966,23524,32408,1530
26436,26917,32413,204
12043,23043,32419,4619
65732,22755,32422,871
37404,24380,32425,13327
93210,25577,32436,11218
38108,25208,32456,18729
45203,16899,32458,3070
92222,24050,32461,45
29015,25321,32465,1738
43203,21608,32466,10084
93701,24596,32466,12529
41250,20683,32472,1195
71640,18614,32473,3227
86502,25901,32473,1464
48206,24899,32480,32290
72677,26019,32493,525
42647,24472,32496,4086
60552,28810,32514,2078
39095,21451,32517,8007
40212,25590,32519,17685
72373,21993,32525,1329
38957,22407,32576,883
65634,22836,32578,766
14305,24090,32599,15249
71202,24999,32602,29044
25301,22130,32603,2771
72006,24702,32616,2603
72059,24702,32616,37
31544,20620,32653,994
71109,24238,32657,22154
93608,25369,32659,1105
77026,21483,32669,23940
78408,23985,32681,12061
95464,28408,32685,2424
36726,20162,32692,4814
87316,26145,32697,1586
90007,21195,32705,40920
24815,20273,32712,559
24826,20273,32712,150
24866,20273,32712,240
24884,20273,32712,265
36910,17768,32725,35
36916,17768,32725,709
36727,23333,32729,61
24831,26682,32732,250
86545,22889,32752,1650
23219,23748,32779,3781
71108,28532,32788,20388
29921,25500,32815,227
29939,25500,32815,302
29525,26098,32824,2029
27401,26808,32835,20661
39854,28727,32855,2592
24887,26738,32857,67
19134,23408,32860,57919
22904,18131,32860,4633
29424,14583,32862,389
13204,25653,32885,20508
72856,25194,32893,464
79411,24330,32899,7951
37408,17976,32910,1486
37657,26543,32917,972
36728,27789,32923,461
71277,24933,32954,1483
48212,25257,32956,46021
74339,25439,32957,2776
74358,25439,32957,325
78407,25116,32962,2955
62995,26184,32966,3781
36104,21269,32968,9468
24657,26475,32982,321
37339,24788,32989,2018
70802,24100,32999,27267
90017,20956,33002,23768
41464,17878,33004,722
41632,17878,33004,614
79406,20509,33006,6025
32425,26125,33023,11384
42653,24761,33032,4619
72636,28283,33043,24
72669,28283,33043,107
72686,28283,33043,182
63636,28877,33044,608
37365,24839,33073,1314
28399,26523,33100,1949
85349,26936,33101,25015
38781,23019,33106,415
38762,23032,33111,3093
86512,28285,33124,2439
36912,18239,33129,2017
45403,25028,33142,16983
93219,25783,33171,10194
70805,25364,33181,29909
30314,23859,33183,22020
63107,23835,33189,11912
68111,25479,33206,26101
86313,27078,33207,257
37753,27204,33218,814
58316,26636,33222,6303
66603,23998,33231,2001
28307,32961,33237,12132
39427,21422,33243,1532
48203,24651,33247,44751
31549,21879,33274,2239
14611,26261,33282,18809
30665,34250,33284,80
48449,29983,33291,1980
62090,19953,33293,1189
37210,26794,33300,16067
38736,22080,33304,529
44902,26443,33306,6879
86031,26835,33318,1856
24277,24943,33333,5116
37049,28490,33337,1844
14621,25181,33353,36144
73119,27576,33353,28075
77808,26227,33354,4491
76105,26746,33357,22194
38103,22331,33391,7011
60624,23004,33397,38105
72346,22759,33400,697
97754,28006,33400,10713
39886,24082,33416,1616
42151,26382,33424,275
15420,24956,33436,223
88340,23940,33445,3159
26264,31464,33450,642
15435,24963,33453,550
36922,19684,33454,656
33438,24239,33460,459
64125,27604,33469,1953
32206,26239,33471,17107
78570,23494,33474,32525
24868,25505,33475,1686
63545,26420,33487,1111
41314,19678,33496,5239
85357,28017,33502,761
65735,24200,33516,110
72394,22866,33524,625
48737,27648,33532,1169
53964,28928,33533,2378
71326,20849,33542,819
78538,22241,33547,10210
40965,23804,33548,13570
24862,22090,33549,651
24872,22090,33549,783
10460,23645,33568,53752
32209,23838,33576,34305
64130,26048,33593,20492
36031,22293,33599,156
60621,21155,33599,35912
39150,23958,33625,6648
29333,27889,33627,374
40434,20000,33632,34
48204,24153,33634,41920
37658,25790,33652,4386
41201,23509,33676,238
41264,23509,33676,389
78742,24223,33679,820
41612,21789,33689,78
41650,21789,33689,534
41667,21789,33689,720
41669,21789,33689,865
35204,24776,33696,10337
13302,28337,33697,974
38704,21360,33698,58
38745,21360,33698,280
39113,21360,33698,837
39177,21360,33698,169
64120,28417,33699,369
17401,24338,33701,16244
41764,31737,33701,741
41777,31737,33701,947
39851,26250,33711,2388
40823,24935,33722,3792
24801,23624,33740,3858
78237,26040,33742,36929
10459,22843,33744,38847
36201,25135,33752,20150
42731,25307,33765,341
25270,27754,33769,972
41311,25476,33780,7538
39361,22677,33783,1704
27212,28521,33789,2026
85371,24520,33789,419
40358,27242,33790,904
65438,27683,33797,2980
92113,24432,33804,45459
1901,18257,33810,1630
30601,22799,33822,20835
63140,28886,33828,294
87311,26650,33842,4244
45417,27096,33846,38678
38921,25536,33850,5573
49402,26570,33851,1091
38647,26708,33859,1027
39341,23426,33859,7626
49788,28299,33859,4863
40486,23193,33860,2223
41606,21982,33863,656
72360,25191,33865,6466
31631,24146,33868,559
24861,27195,33876,307
78567,27639,33878,533
25515,30837,33886,2335
38963,22365,33922,2004
37892,24982,33928,2007
73104,20591,33931,1810
85941,27573,33931,9941
71601,24078,33936,17327
45428,28828,33943,356
45204,26462,33948,8402
10455,22829,33951,37013
36027,27106,33951,13277
48625,27085,33954,12141
44306,26262,33967,25254
40402,25310,33968,2905
78537,25050,33973,39454
1107,23557,33974,11615
11239,24882,33975,14621
33125,26946,33983,52677
85530,25127,33990,2069
70465,19235,34006,776
87825,27910,34012,2938
23504,26232,34022,23480
48218,25708,34032,9917
32091,27394,34034,9797
54615,27645,34039,7452
25422,22537,34040,1700
29048,28036,34059,4864
24836,24128,34068,800
44102,25616,34079,52158
14208,25206,34094,13349
99201,23026,34105,13342
87313,26614,34115,6405
87321,27028,34137,2450
48756,26578,34138,4476
64053,27924,34162,5319
64124,26961,34190,12639
40215,26230,34195,22287
76707,27920,34210,16697
27823,24249,34212,9022
31701,24689,34218,20552
48342,24533,34220,22150
29056,21850,34221,2448
39045,22335,34224,1292
49304,25867,34241,4165
48209,26316,34245,38816
74557,25425,34245,492
87310,26637,34250,1337
86503,22452,34253,10714
85705,25811,34261,57521
27844,25294,34262,2761
87461,19840,34265,1435
36477,26356,34270,4946
72428,23802,34288,95
75847,26851,34290,1596
97914,24811,34290,14798
95422,27728,34293,15585
45402,24105,34298,13637
79838,25235,34300,8699
19139,25579,34301,43706
4487,25492,34302,881
83542,26250,34304,129
83547,26250,34304,219
32447,22467,34308,78
83460,25691,34309,860
40826,34403,34310,759
40862,34403,34310,647
72672,26941,34326,279
38603,27194,34333,2833
90057,26694,34333,44998
37333,26202,34335,534
26456,28594,34336,3734
72348,23355,34346,2594
83549,26275,34363,908
25276,25645,34364,7752
90013,17628,34366,11772
63115,26023,34379,20775
74960,27287,34379,12457
72675,28741,34386,1399
33010,26222,34388,46187
70117,28853,34393,23381
31039,24770,34400,74
31081,24770,34400,251
41231,24272,34401,1002
31825,25211,34407,2312
63620,30159,34412,1619
27509,27105,34413,6330
28615,27556,34435,1981
36703,24675,34436,13643
86514,23869,34440,3011
89501,25760,34445,2860
77051,25127,34449,15085
40808,21420,34450,99
59845,23576,34452,1176
79839,22647,34453,1938
79851,22647,34453,641
24216,23412,34455,2939
38737,26609,34456,5316
33960,26694,34462,854
14211,24889,34464,29664
78579,23476,34475,4580
38738,26613,34476,3068
38768,26613,34476,260
36108,26253,34479,21306
35207,28030,34497,9010
64127,24594,34512,17332
86544,23933,34548,1267
63560,26934,34551,239
38773,22305,34555,4205
15104,24093,34557,11429
29468,23899,34565,2107
73111,24933,34569,12595
41232,23122,34580,782
16401,45414,34581,6281
40962,21663,34581,19143
12167,30899,34596,1481
25571,27965,34596,2206
13120,31029,34600,1962
33430,26743,34602,16771
76115,29480,34618,20696
40208,24905,34623,13227
41735,19560,34624,295
41763,19560,34624,574
30315,24765,34625,29481
46806,27618,34628,23560
57716,21678,34642,486
19601,27083,34653,31057
49007,22183,34657,12175
40903,20412,34665,681
15132,26971,34667,26040
38878,27374,34676,2684
31408,29458,34684,8272
10457,25474,34688,68492
79104,29155,34688,7869
65468,30361,34689,102
65555,30361,34689,1087
65564,30361,34689,220
65589,30361,34689,188
42631,26352,34690,134
42638,26352,34690,207
31055,25295,34692,8245
87455,20454,34712,1757
74523,25641,34716,6063
54813,27272,34722,405
49746,28515,34723,3381
29378,25288,34726,207
77801,22783,34728,15449
89003,23598,34736,1167
89020,23598,34736,1155
15475,26523,34754,1907
76636,26079,34764,815
76661,28657,34811,8708
59527,27292,34825,1019
39824,24105,34827,544
32055,25541,34828,12636
65588,28533,34828,2680
39633,27477,34839,1347
35020,25591,34847,27139
41776,31236,34849,1509
24220,27955,34854,895
24715,29590,34858,594
41616,26187,34870,794
10458,25642,34873,77840
31083,26031,34882,362
36617,23747,34883,13967
48601,26751,34889,47676
98278,37981,34889,1065
36860,24868,34890,1580
18102,27520,34893,43001
36751,25933,34901,945
43787,25542,34931,2481
41203,25000,34942,696
41267,25000,34942,1245
28501,27992,34951,21394
40906,21505,34953,11132
40209,29042,34956,360
6608,27565,34974,13671
93668,26829,34978,1118
72331,28145,34991,3184
72390,25274,34995,9107
45716,24764,35009,496
72476,26140,35010,7155
71662,27601,35021,82
12307,30340,35032,6713
47708,31136,35042,439
29556,25267,35053,12870
38920,28952,35073,933
16502,27552,35090,17291
63942,28602,35090,652
13024,28147,35097,1707
14302,22750,35097,120
48238,26092,35101,45341
37208,21584,35108,16067
78549,26430,35109,990
45404,25314,35117,13106
85147,26789,35117,4543
1003,28462,35121,8491
30664,22188,35122,38
27229,29102,35123,3610
65606,29841,35132,3613
99722,24408,35141,152
99724,24408,35141,84
99733,24408,35141,104
99740,24408,35141,585
99781,24408,35141,167
99788,24408,35141,69
42519,23837,35142,3191
75207,30000,35148,9648
75247,30000,35148,468
40935,18295,35150,2699
24450,29871,35160,9699
27843,26440,35165,1331
45144,26808,35173,4289
10453,26324,35179,77913
41260,26466,35179,885
41271,26466,35179,237
27832,26968,35180,2572
39739,28167,35187,3220
43607,26955,35190,26743
20742,18441,35195,8560
38915,27981,35195,4006
46218,28506,35196,29028
10452,27673,35201,71254
24808,27793,35209,675
24830,27793,35209,139
24848,27793,35209,262
24871,27793,35209,309
24888,23901,35212,167
24853,22331,35213,793
93660,27030,35235,4675
56666,30421,35242,1068
56670,30421,35242,1298
36017,30834,35244,3318
45764,26837,35246,9403
48630,28327,35246,73
66102,27255,35254,26229
36765,23421,35255,1294
46222,27986,35270,34044
99730,24577,35276,144
75686,26342,35283,9470
43934,25344,35290,236
72333,28902,35302,667
72353,28902,35302,114
72367,28902,35302,108
72389,28902,35302,204
93646,26161,35307,10557
25907,23111,35308,123
25936,23111,35308,43
49779,29342,35308,4391
26205,26793,35309,3690
37766,27379,35309,18850
48202,23146,35311,22101
75212,27451,35314,24884
92257,26055,35328,2037
98925,27879,35333,305
48635,29072,35336,1311
64740,28450,35341,1617
25106,31614,35348,642
26288,24824,35348,3603
38754,25091,35360,1758
44105,28348,35362,53913
38127,27637,35373,45248
72021,26305,35388,4348
90058,23718,35411,3223
73109,28435,35414,19447
72170,30781,35425,202
92254,26805,35425,12768
40940,24713,35427,478
68110,27125,35443,9033
49812,29680,35447,690
63933,26241,35460,3719
39038,24226,35463,7316
32502,21790,35468,2265
88001,27406,35473,35794
2746,24099,35477,14861
72041,30806,35484,1457
29135,26289,35494,6995
72641,27492,35495,2585
35443,22043,35496,2009
35481,24346,35498,3668
51105,29840,35499,10216
